User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
o,Operator,30-01-2023 | 12:24:08.491,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 12:28:55.176,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 12:30:27.743,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 12:30:33.645,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:22:25.004,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:23:01.099,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:23:15.282,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:35:05.990,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:35:35.048,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:35:43.538,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:38:21.811,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:40:05.623,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:40:22.371,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:40:30.760,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:40:45.747,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:45.212,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:48.186,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:42:05.669,TopVision,26,26,0,CodeReader,281,26,52,NG,BatchNotMatch,nhgnhnhnh,Admin
a,Admin,30-01-2023 | 14:42:15.135,TopVision,26,26,0,CodeReader,281,26,52,NG,BatchNotMatch,ttttt,Technician
a,Admin,30-01-2023 | 14:42:38.077,TopVision,26,26,0,CodeReader,281,26,52,NG,BatchNotMatch,jujuju,Admin
a,Admin,30-01-2023 | 14:42:40.465,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:43:10.454,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:43:51.115,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:43:54.365,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:43:56.751,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:43:59.806,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:07.501,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:21.673,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:26.379,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:29.115,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:31.925,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:36.041,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:44:52.823,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:45:01.566,TopVision,26,26,0,CodeReader,285,26,286,NG,ExceedTotalBatchQty,a,Admin
a,Admin,30-01-2023 | 14:55:49.460,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:56:35.917,TopVision,26,26,0,CodeReader,281,26,26,NG,BatchNotMatch,t,Technician
a,Admin,30-01-2023 | 14:58:11.902,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:58:25.501,TopVision,26,26,0,CodeReader,281,26,26,NG,BatchNotMatch,a,Admin
o,Operator,30-01-2023 | 15:03:25.915,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 15:03:38.876,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
