User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
a,Admin,30-01-2023 | 09:18:33.945,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 09:18:54.157,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 09:20:02.685,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 09:20:20.265,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:02:35.013,TopVision,26,26,0,CodeReader,281,26,0,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:03:22.167,TopVision,26,26,0,CodeReader,281,26,0,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:08:54.907,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:09:25.369,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:11:44.591,TopVision,26,26,0,CodeReader,281,26,0,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:11:55.621,TopVision,26,26,0,CodeReader,281,26,0,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:19:07.599,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:19:21.507,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:24:12.524,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:24:29.141,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,N/A,Admin
a,Admin,30-01-2023 | 10:29:49.849,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 10:34:50.268,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:40:58.971,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:02.715,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:05.504,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:07.560,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:09.476,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:11.743,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:14.218,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:16.026,TopVision,26,26,0,CodeReader,281,26,208,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:18.026,TopVision,26,26,0,CodeReader,281,26,234,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:19.856,TopVision,26,26,0,CodeReader,281,26,260,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:41:31.604,TopVision,26,26,0,CodeReader,281,26,286,NG,ExceedTotalBatchQty,kkkkk,Admin
o,Operator,30-01-2023 | 14:45:10.491,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:45:17.866,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:45:23.595,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:45:39.620,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:54:15.182,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:54:20.691,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 14:54:46.942,TopVision,26,26,0,CodeReader,285,26,52,NG,BatchNotMatch,e,Engineer
o,Operator,30-01-2023 | 14:54:59.722,TopVision,26,26,0,CodeReader,285,10,52,NG,BatchNotMatch,e,Engineer
a,Admin,30-01-2023 | 14:59:15.615,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 14:59:25.365,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,a,Admin
a,Admin,30-01-2023 | 15:43:13.922,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:43:23.493,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:43:41.257,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,a,Admin
a,Admin,30-01-2023 | 15:44:19.929,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,e,Engineer
a,Admin,30-01-2023 | 15:59:03.521,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:59:25.122,TopVision,26,26,0,CodeReader,285,26,26,NG,BatchNotMatch,a,Admin
o,Operator,30-01-2023 | 16:04:34.472,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:04:43.122,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:24:32.317,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:24:41.281,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:27:40.998,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:28:48.258,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:30:45.972,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:30:48.915,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:33:14.465,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 16:33:20.627,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:17:13.654,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:17:18.128,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:17:22.541,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:17:33.966,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 17:17:41.858,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
