User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
a,Admin,04-01-2023 | 11:44:34.362,TopVision,26,26,0,CodeReader,281,26,26,OK,,,
a,Admin,04-01-2023 | 11:44:53.502,TopVision,26,26,0,CodeReader,281,26,52,OK,,,
a,Admin,04-01-2023 | 11:45:05.677,TopVision,26,26,0,CodeReader,281,26,78,OK,,,
a,Admin,04-01-2023 | 11:45:11.562,TopVision,26,26,0,CodeReader,281,26,104,OK,,,
a,Admin,04-01-2023 | 11:45:15.704,TopVision,26,26,0,CodeReader,281,26,130,OK,,,
a,Admin,04-01-2023 | 11:45:23.483,TopVision,26,26,0,CodeReader,281,26,156,OK,,,
a,Admin,04-01-2023 | 11:45:30.861,TopVision,26,26,0,CodeReader,281,26,182,OK,,,
a,Admin,04-01-2023 | 11:45:35.848,TopVision,26,26,0,CodeReader,281,26,208,OK,,,
a,Admin,04-01-2023 | 11:45:44.624,TopVision,26,26,0,CodeReader,281,26,234,OK,,,
a,Admin,04-01-2023 | 11:46:52.131,TopVision,26,26,0,CodeReader,281,26,260,OK,,,
a,Admin,04-01-2023 | 12:21:04.857,TopVision,26,26,0,CodeReader,281,26,26,OK,,,
a,Admin,04-01-2023 | 12:21:11.438,TopVision,26,26,0,CodeReader,281,26,52,OK,,,
a,Admin,04-01-2023 | 12:21:32.221,TopVision,26,26,0,CodeReader,285,26,52,NG,,N/A,Admin
