User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
a,Admin,18-01-2023 | 12:07:37.877,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:07:41.894,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:07:58.236,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:08:01.228,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:08:03.915,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:08:19.680,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:08:22.708,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
a,Admin,18-01-2023 | 12:08:56.413,TopVision,25,25,0,CodeReader,281,26,52,NG,BoxQtyNotMatch,N/A,Admin
a,Admin,18-01-2023 | 12:09:11.973,TopVision,25,25,0,CodeReader,281,26,52,NG,BoxQtyNotMatch,N/A,Engineer
t,Technician,18-01-2023 | 12:13:47.287,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:13:50.564,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:13:52.245,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:13:53.945,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:13:55.634,TopVision,26,26,0,CodeReader,281,26,130,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:13:57.868,TopVision,26,26,0,CodeReader,281,26,156,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:14:04.891,TopVision,26,26,0,CodeReader,281,26,182,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:14:09.257,TopVision,26,26,0,CodeReader,281,26,208,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:14:11.876,TopVision,26,26,0,CodeReader,281,26,234,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:14:13.820,TopVision,26,26,0,CodeReader,281,26,260,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:14:25.669,TopVision,26,26,0,CodeReader,281,26,286,NG,ExceedTotalBatchQty,N/A,Admin
t,Technician,18-01-2023 | 12:14:49.876,TopVision,26,26,0,CodeReader,281,26,312,NG,ExceedTotalBatchQty,N/A,Technician
t,Technician,18-01-2023 | 12:15:32.529,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:15:35.127,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:15:47.310,TopVision,26,26,0,CodeReader,285,26,52,NG,BatchNotMatch,N/A,Admin
t,Technician,18-01-2023 | 12:16:13.180,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:16:54.753,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:17:05.284,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:17:26.973,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:18:24.189,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:18:26.836,TopVision,26,26,0,CodeReader,281,26,52,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:18:37.934,TopVision,26,26,0,CodeReader,281,26,78,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:18:41.510,TopVision,26,26,0,CodeReader,281,26,104,OK,N/A,N/A,N/A
t,Technician,18-01-2023 | 12:18:59.196,TopVision,26,26,0,CodeReader,281,26,26,OK,N/A,N/A,N/A
